%Depth	   PO4	   NH4	    pH 	   TA	    Fe	    F	Mn	   NO3	   SO4	H2S
0.00	5.90	15.30	7.91	2860.00	0.60	73.60	NaN	16.90	28200.00	0.00
0.12	25.90	65.90	7.96	2940.00	5.60	76.70	NaN	74.40	28500.00	0.00
0.37	44.80	89.60	7.97	3160.00	32.70	78.80	NaN	NaN	27600.00	0.00
0.75	53.90	108.80	7.97	3620.00	42.40	79.00	NaN	25.20	28200.00	0.00
1.25	52.70	141.30	7.96	4120.00	31.10	78.60	NaN	5.90	28000.00	0.00
1.75	49.00	157.50	7.92	4090.00	30.70	78.00	NaN	2.60	28000.00	0.00
2.25	49.00	184.10	8.04	4350.00	16.80	77.60	NaN	2.60	28200.00	0.00
2.75	52.10	212.20	8.09	4690.00	11.70	75.90	NaN	0.00	27200.00	0.20
3.50	55.10	252.10	8.01	5120.00	4.40	73.80	NaN	0.00	27800.00	3.10
4.50	58.10	271.30	8.11	5450.00	0.20	55.10	NaN	0.00	26800.00	50.30
6.50	63.00	362.30	8.08	5920.00	0.10	53.00	NaN	0.00	26800.00	193.80
8.50	69.10	418.50	8.10	6510.00	0.00	53.00	NaN	0.00	26300.00	296.00
10.50	72.70	445.10	8.07	7010.00	0.00	55.10	NaN	0.00	26100.00	403.20
12.50	75.70	501.20	8.10	7400.00	0.00	53.40	NaN	0.00	26600.00	505.60
14.50	79.40	566.30	8.12	8110.00	0.00	50.70	NaN	NaN	25100.00	599.20
18.50	83.00	666.70	8.12	9100.00	0.00	51.60	NaN	NaN	23600.00	841.30
22.50	85.50	749.50	8.15	10180.00	0.00	51.40	NaN	NaN	22800.00	1200.20
27.50	82.40	835.20	8.01	11010.00	0.00	43.50	NaN	NaN	21700.00	1567.00
30.50	85.50	912.00	8.17	11950.00	0.00	44.50	NaN	NaN	19800.00	0.00
0.00	10.10	38.50	7.82	2640.00	3.50	71.80	NaN	7.40	27400.00	NaN
0.12	36.50	82.80	NaN	2910.00	12.20	71.80	NaN	NaN	28500.00	NaN
0.37	54.60	103.10	7.77	3140.00	38.00	75.10	NaN	30.60	27800.00	NaN
0.75	61.60	123.40	7.83	3150.00	35.10	75.30	NaN	13.00	27600.00	NaN
1.25	65.50	149.20	7.89	3580.00	31.50	69.40	NaN	3.60	28200.00	NaN
1.75	66.80	175.00	7.98	4180.00	20.50	71.80	NaN	1.20	28600.00	NaN
2.25	72.60	202.70	8.03	4500.00	15.90	70.30	NaN	NaN	27600.00	NaN
2.75	70.70	224.90	8.04	4710.00	10.80	64.90	NaN	NaN	27600.00	NaN
3.50	76.50	261.80	8.07	4990.00	5.30	64.60	NaN	NaN	27400.00	0.00
4.50	81.60	282.10	8.12	5500.00	1.40	61.30	NaN	NaN	26100.00	8.00
6.50	86.80	350.40	8.12	6160.00	0.10	52.70	NaN	NaN	25700.00	106.00
8.50	90.00	394.70	8.10	6730.00	0.00	55.40	NaN	NaN	25700.00	185.00
10.50	90.60	483.00	8.06	7330.00	0.80	53.00	NaN	NaN	25100.00	210.00
12.50	92.60	519.90	8.05	7790.00	0.20	51.80	NaN	NaN	24900.00	326.00
14.50	93.20	567.90	8.01	8300.00	0.00	41.10	NaN	NaN	23800.00	470.00
18.50	90.60	656.40	8.08	9040.00	0.10	47.80	NaN	NaN	23200.00	668.00
22.50	85.50	754.10	8.04	10040.00	0.00	48.90	NaN	NaN	21900.00	875.00
27.50	88.10	833.20	8.09	11250.00	0.20	50.10	NaN	NaN	21500.00	981.00
32.50	86.10	921.50	8.06	12300.00	0.10	48.70	NaN	NaN	20600.00	1141.00
0.00	5.30	15.40	7.85	NaN	3.10	71.00	NaN	25.90	27400.00	0.00
0.12	41.10	84.30	7.85	3050.00	21.90	72.70	NaN	69.10	27400.00	0.00
0.37	48.30	113.00	7.81	3540.00	33.80	71.70	NaN	40.20	27400.00	0.00
0.75	48.30	130.50	7.86	3640.00	35.60	74.00	NaN	19.40	27600.00	0.00
1.25	48.30	151.30	7.93	3840.00	32.10	74.20	NaN	9.20	27800.00	0.00
1.75	47.60	176.80	7.97	4060.00	26.70	71.20	NaN	3.40	22300.00	0.00
2.25	47.60	207.10	8.05	4420.00	18.20	65.80	NaN	2.00	27000.00	0.00
2.75	49.60	240.70	8.09	4780.00	14.10	66.50	NaN	0.50	27000.00	0.00
3.50	58.00	280.50	8.12	5240.00	15.90	63.30	NaN	0.00	26600.00	0.00
4.50	65.20	328.40	8.16	5775.00	7.90	61.10	NaN	0.00	26300.00	0.00
6.50	73.70	382.70	8.15	6260.00	0.90	49.90	NaN	0.00	25900.00	75.00
8.50	81.50	443.30	8.06	6860.00	0.20	52.90	NaN	0.00	25500.00	204.00
10.50	88.00	506.80	8.06	7490.00	0.30	48.90	NaN	0.00	25700.00	292.00
12.50	91.90	570.70	8.06	8080.00	0.40	49.40	NaN	0.00	25400.00	414.00
14.50	92.50	599.40	8.06	8670.00	0.20	47.00	NaN	0.00	24900.00	479.00
18.50	94.50	720.70	8.06	9500.00	0.20	48.70	NaN	0.00	23800.00	774.00
22.50	93.80	800.50	8.06	10780.00	1.30	45.20	NaN	0.00	21900.00	901.00
27.50	91.20	896.20	8.04	11820.00	0.30	44.00	NaN	0.00	21300.00	886.00
32.50	91.20	1020.70	8.07	13310.00	0.40	43.20	NaN	0.00	20200.00	1530.00
0.00	0.00	10.70	NaN	2570.00	3.80	64.30	0.30	NaN	28300.00	NaN
0.13	17.80	59.90	NaN	NaN	13.00	72.70	0.30	NaN	28400.00	NaN
0.38	44.00	79.70	NaN	3150.00	42.50	89.70	1.80	NaN	27800.00	NaN
0.75	47.00	102.10	NaN	3420.00	60.70	87.40	2.60	NaN	27900.00	NaN
1.25	44.00	135.00	NaN	3840.00	50.00	94.70	8.20	NaN	27400.00	NaN
1.75	48.00	231.20	NaN	4460.00	36.90	92.40	6.60	NaN	27200.00	0.20
2.25	52.00	237.80	NaN	4790.00	32.00	74.70	5.00	NaN	27200.00	0.30
2.75	53.00	258.90	NaN	5110.00	27.90	80.80	4.20	NaN	27100.00	0.20
3.50	69.20	298.40	NaN	5390.00	18.70	72.70	3.40	NaN	26700.00	0.60
4.50	70.20	331.30	NaN	5900.00	5.10	64.60	1.00	NaN	25900.00	7.70
5.50	71.20	369.50	NaN	6270.00	2.30	61.90	0.30	NaN	26100.00	37.00
6.50	73.20	416.60	NaN	6490.00	1.70	60.80	0.30	NaN	25900.00	80.70
8.50	76.20	491.40	NaN	7170.00	NaN	59.30	0.30	NaN	25400.00	139.00
11.50	83.40	552.00	NaN	7930.00	NaN	54.60	0.30	NaN	24500.00	275.00
15.50	91.40	675.80	NaN	9290.00	NaN	54.60	0.30	NaN	24000.00	378.00
20.50	103.60	736.40	NaN	10600.00	NaN	55.00	0.30	NaN	22200.00	599.00
25.50	103.60	894.50	NaN	12000.00	NaN	49.60	0.30	NaN	21400.00	835.00
30.50	101.60	920.90	NaN	13400.00	NaN	49.20	0.30	NaN	20300.00	1124.00
40.50	98.40	1200.20	NaN	15780.00	NaN	35.40	1.80	NaN	18700.00	1221.00
50.50	107.60	1432.10	NaN	18940.00	NaN	47.30	1.80	NaN	16600.00	1811.00
0.13	NaN	NaN	NaN	NaN	14.10	NaN	NaN	NaN	29100.00	NaN
0.38	NaN	NaN	NaN	NaN	30.10	NaN	NaN	NaN	28400.00	NaN
0.75	NaN	NaN	NaN	NaN	32.20	NaN	NaN	NaN	28800.00	NaN
1.25	NaN	NaN	NaN	NaN	18.20	NaN	NaN	NaN	28600.00	NaN
1.75	NaN	NaN	NaN	NaN	10.40	NaN	NaN	NaN	28500.00	0.70
2.25	NaN	NaN	NaN	NaN	4.90	NaN	NaN	NaN	28200.00	1.30
2.75	NaN	NaN	NaN	NaN	1.80	NaN	NaN	NaN	27800.00	8.20
3.50	NaN	NaN	NaN	NaN	0.50	NaN	NaN	NaN	28100.00	53.60
4.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27200.00	79.80
5.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27100.00	127.00
6.50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26900.00	171.50
