% Depth [mm]	O2 data
-2.25E+01	8.66E+00
-1.65E+01	8.66E+00
-1.63E+01	8.66E+00
-1.60E+01	8.66E+00
-1.58E+01	8.74E+00
-1.55E+01	8.66E+00
-1.53E+01	8.83E+00
-1.50E+01	8.83E+00
-1.48E+01	8.66E+00
-1.45E+01	8.66E+00
-1.43E+01	8.74E+00
-1.40E+01	8.83E+00
-1.38E+01	8.58E+00
-1.35E+01	8.58E+00
-1.33E+01	8.58E+00
-1.30E+01	8.58E+00
-1.28E+01	8.58E+00
-1.25E+01	8.58E+00
-1.23E+01	8.58E+00
-1.20E+01	8.58E+00
-1.18E+01	8.58E+00
-1.15E+01	8.58E+00
-1.13E+01	8.74E+00
-1.10E+01	8.58E+00
-1.08E+01	8.58E+00
-1.05E+01	8.74E+00
-1.03E+01	8.66E+00
-1.00E+01	8.83E+00
-9.75E+00	8.83E+00
-9.50E+00	8.83E+00
-9.25E+00	8.83E+00
-9.00E+00	8.83E+00
-8.75E+00	8.83E+00
-8.50E+00	8.83E+00
-8.25E+00	8.83E+00
-8.00E+00	8.83E+00
-7.75E+00	8.83E+00
-7.50E+00	8.83E+00
-7.25E+00	8.83E+00
-7.00E+00	8.83E+00
-6.75E+00	8.83E+00
-6.50E+00	8.83E+00
-6.25E+00	8.83E+00
-6.00E+00	8.83E+00
-5.75E+00	8.83E+00
-5.50E+00	8.58E+00
-5.25E+00	8.58E+00
-5.00E+00	8.66E+00
-4.75E+00	8.83E+00
-4.50E+00	8.58E+00
-4.25E+00	8.83E+00
-4.00E+00	8.58E+00
-3.75E+00	8.58E+00
-3.50E+00	8.58E+00
-3.25E+00	8.66E+00
-3.00E+00	8.58E+00
-2.75E+00	8.58E+00
-2.50E+00	8.83E+00
-2.25E+00	8.83E+00
-2.00E+00	8.66E+00
-1.75E+00	8.66E+00
-1.50E+00	8.58E+00
-1.25E+00	8.58E+00
-1.00E+00	8.58E+00
-7.50E-01	8.74E+00
-5.00E-01	8.58E+00
-2.50E-01	7.93E+00
2.50E-01	5.47E+00
5.00E-01	2.70E+00
7.50E-01	1.47E+00
1.00E+00	1.47E+00
1.25E+00	1.47E+00
1.50E+00	1.23E+00
1.75E+00	1.23E+00
2.00E+00	1.14E+00
2.25E+00	1.31E+00
2.50E+00	1.72E+00
2.75E+00	8.17E-01
3.00E+00	8.99E-01
3.25E+00	7.35E-01
