% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
  1 -6.537084e-07 1.335968e-08 -6.349840e-06 6.524475e-09 -2.035999e-24 1.188387e-11 13.77305 100.00000 100.00000
  2 -1.170835e-05 -6.454655e-06 -8.113484e-06 3.165522e-07 1.763644e-06 5.885617e-10  0.27412  3.05648 100.00000
  3 -3.043729e-07 2.004200e-08 -6.349840e-06 3.138775e-09 -7.461209e-25 6.925034e+04 100.00000 100.00000 100.00000
  4 -3.773786e-07 2.707741e-08 -6.349840e-06 3.897282e-09 -7.461209e-25 6.925034e+04 100.00000 100.00000 100.00000
  5 -2.418074e-06 -1.728147e-06 -6.354907e-06 1.114461e-08 5.066552e-09 6.474617e-11  1.56892 28.78221 100.00000
  6 -1.945690e-07 9.460440e-09 -6.349840e-06 1.997948e-09 -3.730605e-25 6.925034e+04 100.00000 100.00000 100.00000
  7 -6.614545e-07 1.123552e-08 -6.349840e-06 6.584295e-09 -2.037945e-24 1.193405e-11 12.99629 100.00000 100.00000
  8 -3.706515e-05 -1.531208e-05 -3.073279e-05 3.514810e-06 2.438295e-05 3.233725e-09  0.08417  1.19297 100.00000
  9 -3.773158e-06 -2.674191e-06 -6.419068e-06 2.723779e-08 6.922818e-08 1.272179e-10  0.93056  8.21098 100.00000
 10 -2.296114e-05 -1.060379e-05 -1.481017e-05 1.300762e-06 8.460329e-06 1.545744e-09  0.13696  1.77464 100.00000
 11 -3.658559e-05 -1.515614e-05 -3.005154e-05 3.421412e-06 2.370170e-05 3.167463e-09  0.08529  1.20616 100.00000
 12 -4.556346e-07 2.426624e-08 -6.349840e-06 4.653440e-09 9.292031e-25 -1.261017e-07 60.86834 100.00000 100.00000
 13 -1.860666e-07 8.641089e-09 -6.349840e-06 1.909611e-09 -3.730605e-25 6.925034e+04 100.00000 100.00000 100.00000
 14 -2.013195e-07 1.011098e-08 -6.349840e-06 2.068084e-09 -1.021722e-24 6.925034e+04 100.00000 100.00000 100.00000
 15 -3.539717e-05 -1.476878e-05 -2.840592e-05 3.195473e-06 2.205608e-05 3.005944e-09  0.08819  1.24020 100.00000
 16 -1.571143e-06 -8.504625e-07 -6.349873e-06 8.931978e-09 3.335630e-11 2.958582e-11  2.72903 92.48359 100.00000
 17 -2.609695e-06 -1.899896e-06 -6.359023e-06 1.230755e-08 9.183472e-09 7.337043e-11  1.43054 13.92221 100.00000
 18 -2.206151e-06 -1.512595e-06 -6.352515e-06 1.038506e-08 2.675161e-09 5.535546e-11  1.75653 44.26893 100.00000
 19 -7.436169e-07 -4.296233e-08 -6.349840e-06 6.972273e-09 -4.815844e-24 1.256694e-11  9.28626 100.00000 100.00000
 20 -2.990437e-06 -2.170287e-06 -6.373803e-06 1.633609e-08 2.396260e-08 9.074035e-11  1.21691 10.25584 100.00000
 21 -7.572133e-06 -4.674591e-06 -6.936589e-06 1.249408e-07 5.867487e-07 3.256126e-10  0.43370  4.37281 100.00000
 22 -2.667547e-06 -1.944026e-06 -6.360865e-06 1.282957e-08 1.102480e-08 7.599206e-11  1.39340 12.61819 100.00000
 23 -1.995916e-06 -1.292828e-06 -6.351078e-06 9.816751e-09 1.237533e-09 4.629071e-11  1.99235 58.83073 100.00000
 24 -7.702555e-07 -6.423468e-08 -6.349840e-06 7.069266e-09 -4.813060e-24 1.278836e-11  8.63660 100.00000 100.00000
 25 -1.778047e-05 -8.768143e-06 -1.107769e-05 7.624933e-07 4.727846e-06 1.061751e-09  0.17796  2.18338 100.00000
 26 -2.712836e-05 -1.202781e-05 -1.863209e-05 1.840460e-06 1.228225e-05 1.988216e-09  0.11555  1.54781 100.00000
 27 -1.231279e-06 -4.881730e-07 -6.349840e-06 8.346643e-09 -3.907739e-24 1.946427e-11  3.86029 100.00000 100.00000
 28 -3.466544e-05 -1.452959e-05 -2.742288e-05 3.060265e-06 2.107304e-05 2.908399e-09  0.09008  1.26217 100.00000
