% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
  1 -3.945050e-04 -1.245457e-04 -3.350138e-03 4.331393e-04 3.366046e-03 2.256746e-07  0.00782  0.13539  2.54769
  2 -1.699666e-04 -5.637229e-05 -6.054340e-04 7.917200e-05 5.990841e-04 4.558228e-08  0.01817  0.30390 100.00000
  3 -2.775723e-04 -8.907630e-05 -1.642903e-03 2.133331e-04 1.641523e-03 1.148718e-07  0.01111  0.19031  7.11664
  4 -3.148923e-04 -1.004010e-04 -2.122319e-03 2.751097e-04 2.125861e-03 1.462173e-07  0.00979  0.16849  4.65914
  5 -3.306337e-04 -1.051763e-04 -2.342938e-03 3.035217e-04 2.348709e-03 1.605683e-07  0.00933  0.16072  4.04346
  6 -3.626764e-04 -1.148946e-04 -2.825755e-03 3.656725e-04 2.836391e-03 1.918514e-07  0.00850  0.14693  3.14966
  7 -3.556651e-04 -1.127683e-04 -2.716243e-03 3.515784e-04 2.725776e-03 1.847690e-07  0.00867  0.14974  3.31461
  8 -2.127692e-04 -6.939421e-05 -9.562339e-04 1.247191e-04 9.498840e-04 6.939264e-08  0.01451  0.24556 39.87001
  9 -1.684046e-04 -5.589656e-05 -5.941972e-04 7.770516e-05 5.878474e-04 4.480709e-08  0.01834  0.30656 100.00000
 10 -3.715262e-04 -1.175782e-04 -2.967076e-03 3.838579e-04 2.979134e-03 2.009807e-07  0.00830  0.14352  2.96027
 11 -3.287525e-04 -1.046057e-04 -2.315998e-03 3.000527e-04 2.321497e-03 1.588180e-07  0.00938  0.16161  4.10932
 12 -3.210480e-04 -1.022685e-04 -2.207293e-03 2.860540e-04 2.211694e-03 1.517495e-07  0.00961  0.16536  4.39981
 13 -2.868995e-04 -9.190719e-05 -1.756970e-03 2.280367e-04 1.756786e-03 1.223528e-07  0.01075  0.18434  6.29714
 14 -3.226888e-04 -1.027663e-04 -2.230224e-03 2.890072e-04 2.234857e-03 1.532414e-07  0.00956  0.16455  4.33497
 15 -2.596144e-04 -8.362479e-05 -1.434084e-03 1.864054e-04 1.430250e-03 1.011312e-07  0.01188  0.20296  9.63949
 16 -3.778160e-04 -1.194855e-04 -3.069616e-03 3.970514e-04 3.082705e-03 2.075980e-07  0.00816  0.14120  2.83690
 17 -2.883957e-04 -9.236125e-05 -1.775624e-03 2.304409e-04 1.775633e-03 1.235747e-07  0.01070  0.18342  6.18288
 18 -2.797113e-04 -8.972555e-05 -1.668724e-03 2.166618e-04 1.667617e-03 1.165666e-07  0.01103  0.18891  6.91010
 19 -2.180292e-04 -7.099296e-05 -1.005070e-03 1.310289e-04 9.987205e-04 7.266056e-08  0.01416  0.23990 34.15910
 20 -3.118598e-04 -9.948105e-05 -2.081074e-03 2.697970e-04 2.084198e-03 1.435297e-07  0.00989  0.17007  4.79713
 21 -3.176196e-04 -1.012284e-04 -2.159761e-03 2.799322e-04 2.163682e-03 1.486557e-07  0.00971  0.16709  4.54097
 22 -1.442836e-04 -4.854340e-05 -4.342242e-04 5.679932e-05 4.278743e-04 3.367402e-08  0.02141  0.35450 100.00000
 23 -3.416341e-04 -1.085129e-04 -2.503590e-03 3.242056e-04 2.510981e-03 1.709948e-07  0.00903  0.15570  3.69235
 24 -1.835683e-04 -6.051315e-05 -7.077943e-04 9.252643e-05 7.014445e-04 5.261156e-08  0.01682  0.28256 100.00000
 25 -2.073944e-04 -6.776028e-05 -9.075902e-04 1.184327e-04 9.012404e-04 6.613067e-08  0.01488  0.25162 46.96603
