% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
  1 -2.439124e-04 -4.577539e-06 -1.135771e-04 1.655131e-05 1.072275e-04 1.637534e-08  0.42902  0.72206 100.00000
  2 -9.557400e-06 -1.420919e-07 -6.394629e-06 1.245515e-07 4.501619e-08 NaN 10.98682 18.09388 100.00000
  3 -5.424997e-05 -7.445120e-07 -7.845391e-06 1.766556e-07 1.495778e-06 1.123845e-09  1.94051  3.23483 100.00000
  4 -5.919600e-05 -1.172738e-06 -8.709893e-06 2.614612e-06 2.360280e-06 6.089244e-10  1.71687  3.14411 100.00000
  5 -6.702982e-04 -3.935861e-06 -2.625989e-04 4.147592e-05 2.562493e-04 2.688418e-08  0.15012  0.31350 100.00000
  6 -5.480720e-06 -6.410769e-08 -7.303731e-06 1.915977e-07 9.541181e-07 NaN 24.34967 29.90797 100.00000
  7 -1.399195e-03 -2.311876e-05 -1.186331e-03 1.688432e-04 1.179981e-03 1.424105e-07  0.07550  0.12347 100.00000
  8 -6.098086e-05 5.383908e-07 -1.996367e-05 7.374621e-07 1.361406e-05 2.521622e-10  1.64408  3.74138 100.00000
  9 -1.107886e-06 9.670637e-08 -6.349613e-06 9.856933e-09 -8.286757e-22 NaN 100.00000 100.00000 100.00000
 10 -1.006503e-03 -1.785568e-05 -8.305533e-04 1.219605e-04 8.242037e-04 7.027621e-08  0.11422  0.16200 100.00000
 11 -4.323042e-06 -2.515698e-08 -7.002078e-06 6.611437e-08 6.524649e-07 NaN 29.01148 37.08380 100.00000
 12 -1.429003e-04 -1.973537e-06 -2.358631e-05 4.532039e-06 1.723670e-05 1.460867e-09  0.73135  1.28823 100.00000
 13 -1.049021e-05 -1.572640e-07 -9.008340e-06 3.250510e-07 2.658728e-06 NaN 11.50906 15.16093 100.00000
 14 -1.008664e-04 -1.496274e-07 -3.832296e-05 2.820401e-06 3.197335e-05 2.765310e-09  1.04242  1.88380 100.00000
 15 -4.065469e-06 -2.174036e-08 -6.471620e-06 2.451149e-09 1.220076e-07     NaN 28.98680 38.66177 100.00000
 16 -4.439354e-04 -1.125616e-05 -1.650171e-04 3.626629e-05 1.586675e-04 2.512695e-08  0.23638  0.37803 100.00000
 17 -2.906124e-05 -4.870832e-07 -1.796657e-05 1.528179e-06 1.161696e-05 4.790040e-12  3.85263  5.67450 100.00000
 18 -1.394880e-05 -4.127310e-08 -7.492606e-06 -1.566356e-08 1.142994e-06 NaN  7.40489 13.87870 100.00000
 19 -3.904186e-05 3.460755e-07 -1.750886e-05 9.316703e-07 1.115925e-05 2.806847e-10  2.57532  5.79463 100.00000
 20 -3.162789e-06 2.738260e-08 -6.663096e-06 -1.454016e-09 3.134831e-07 NaN 42.92169 52.72041 100.00000
 21 -1.039806e-04 -2.168728e-06 -2.666838e-05 5.308551e-06 2.031877e-05 6.222461e-10  0.98803  1.72104 100.00000
 22 -1.416400e-04 4.497519e-07 -6.188217e-05 3.367884e-06 5.553255e-05 5.945160e-09  0.74612  1.37055 100.00000
 23 -6.112936e-06 -9.700085e-08 -6.777594e-06 1.186924e-07 4.279810e-07 NaN 18.25036 25.77105 100.00000
 24 -2.277916e-05 -6.064479e-08 -7.701377e-06 1.160596e-07 1.351764e-06 -4.316119e-11  4.44302  9.10271 100.00000
 25 -2.013870e-04 -1.782608e-06 -8.693367e-05 6.014104e-06 8.058406e-05 1.712308e-08  0.53624  0.88177 100.00000
