% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
  1 -7.836038e-05 -3.239676e-05 -2.001098e-04 2.566734e-05 1.937601e-04 2.083288e-08  0.03938  0.54967 100.00000
  2 -7.184040e-06 -1.095265e-06 -7.288350e-06 1.953287e-07 9.387370e-07 5.115066e-10  0.42020 13.51874 100.00000
  3 -2.785532e-05 -7.066883e-06 -2.013989e-05 1.661937e-06 1.379028e-05 2.714074e-09  0.10901  2.41118 100.00000
  4 -2.982999e-05 -6.405445e-06 -2.621048e-05 3.708663e-06 1.986087e-05 1.648461e-09  0.10146  2.62188 100.00000
  5 -1.688284e-04 -6.881672e-05 -5.519765e-04 7.312131e-05 5.456268e-04 2.950812e-08  0.01829  0.25249 100.00000
  6 -3.182033e-06 -1.133130e-06 -7.739335e-06 1.688983e-07 1.389722e-06 6.284869e-10  0.96444 14.97329 100.00000
  7 -3.027032e-04 -1.929255e-04 -1.775688e-03 2.345787e-04 1.769339e-03 1.454376e-07  0.01063  0.09210 100.00000
  8 -3.065261e-05 -4.422988e-06 -3.452793e-05 3.023597e-06 2.817831e-05 1.256314e-09  0.09860  2.84026 100.00000
  9 -5.649142e-07 -3.360679e-07 -6.388169e-06 2.466528e-09 3.855604e-08 3.435737e-10  5.63945 52.20539 100.00000
 10 -2.241732e-04 -1.705698e-04 -1.209197e-03 1.586317e-04 1.202847e-03 6.984208e-08  0.01497  0.10235 100.00000
 11 -2.839954e-06 -7.893643e-07 -7.283653e-06 6.029831e-08 9.340405e-07 3.368865e-10  1.07373 19.85285 100.00000
 12 -5.459340e-05 -1.823514e-05 -7.116658e-05 8.824318e-06 6.481697e-05 3.918167e-09  0.05608  0.96047 100.00000
 13 -6.490763e-06 -1.891524e-06 -1.003375e-05 3.690397e-07 3.684140e-06 3.965550e-10  0.46950  8.84552 100.00000
 14 -4.222311e-05 -1.173175e-05 -6.460675e-05 6.780006e-06 5.825714e-05 5.939009e-09  0.07230  1.29901 100.00000
 15 -3.079249e-06 -6.914069e-07 -6.614507e-06 6.926937e-09 2.648945e-07 1.629228e-10  0.98513 22.54089 100.00000
 16 -1.215578e-04 -6.183153e-05 -3.551889e-04 4.934709e-05 3.488393e-04 2.926180e-08  0.02569  0.29868 100.00000
 17 -1.595187e-05 -4.282434e-06 -2.287181e-05 1.990183e-06 1.652220e-05 6.193544e-10  0.19091  3.68469 100.00000
 18 -9.950126e-06 -1.222231e-06 -9.103088e-06 2.028849e-07 2.753475e-06 8.479466e-10  0.30325 10.23828 100.00000
 19 -2.211501e-05 -2.599428e-06 -2.566670e-05 2.095109e-06 1.931709e-05 2.627583e-09  0.13651  4.34025 100.00000
 20 -2.025868e-06 -6.280254e-07 -6.882432e-06 -5.657578e-09 5.328198e-07 3.090119e-10  1.50981 25.43077 100.00000
