% Exp     F_O2        F_NO3        F_SO4        F_NH4        F_H2S        F_PO4          zox     zNO3     zSO4
  1 -5.373474e-05 -3.190364e-05 -8.572690e-05 1.057413e-05 7.937706e-05 9.983084e-09  0.05995  0.57839 100.00000
  2 -7.167592e-06 -1.099066e-06 -7.285183e-06 1.963733e-07 9.353427e-07 4.982117e-10  0.42511 13.59084 100.00000
  3 -2.312759e-05 -6.977507e-06 -1.518652e-05 1.028992e-06 8.836682e-06 1.845640e-09  0.13320  2.62248 100.00000
  4 -2.741205e-05 -6.441678e-06 -2.268724e-05 3.149200e-06 1.633740e-05 1.496431e-09  0.11161  2.68295 100.00000
  5 -1.115751e-04 -6.841084e-05 -1.974815e-04 2.605180e-05 1.911317e-04 1.532124e-08  0.02906  0.26350 100.00000
  6 -3.119439e-06 -1.130971e-06 -7.700396e-06 1.650936e-07 1.350556e-06 5.961854e-10  0.99402 15.22822 100.00000
  7 -2.146275e-04 -1.815063e-04 -6.209681e-04 8.257112e-05 6.146183e-04 6.109798e-08  0.01650  0.09649 100.00000
  8 -2.883051e-05 -4.555230e-06 -3.119128e-05 2.643081e-06 2.484144e-05 1.120971e-09  0.10590  2.89134 100.00000
  9 -5.644553e-07 -3.434569e-07 -6.387983e-06 2.569425e-09 3.814263e-08 3.269311e-10  5.70032 53.24093 100.00000
 10 -1.696312e-04 -1.573298e-04 -4.251643e-04 5.648760e-05 4.188144e-04 3.120092e-08  0.02252  0.10947 100.00000
 11 -2.831298e-06 -7.970365e-07 -7.280769e-06 6.104865e-08 9.309292e-07 3.185365e-10  1.08729 20.05715 100.00000
 12 -4.185128e-05 -1.784333e-05 -4.077490e-05 4.671529e-06 3.442506e-05 2.199612e-09  0.07488  1.05947 100.00000
 13 -6.264526e-06 -1.881215e-06 -9.833108e-06 3.494815e-07 3.483268e-06 3.741654e-10  0.49158  9.02996 100.00000
 14 -3.325650e-05 -1.225727e-05 -4.138731e-05 3.969249e-06 3.503747e-05 3.882263e-09  0.09362  1.35468 100.00000
 15 -3.076688e-06 -7.003906e-07 -6.616060e-06 7.823408e-09 2.662204e-07 1.509735e-10  0.99523 22.78149 100.00000
 16 -8.322187e-05 -5.887128e-05 -1.334521e-04 1.880122e-05 1.271023e-04 1.323444e-08  0.03986  0.31662 100.00000
 17 -1.488183e-05 -4.306871e-06 -2.093076e-05 1.755973e-06 1.458092e-05 5.342370e-10  0.20700  3.77229 100.00000
 18 -9.852397e-06 -1.225809e-06 -9.049434e-06 2.002120e-07 2.699594e-06 8.304994e-10  0.30915 10.31768 100.00000
 19 -2.148187e-05 -2.646126e-06 -2.459355e-05 1.977859e-06 1.824371e-05 2.503434e-09  0.14190  4.39350 100.00000
 20 -2.022206e-06 -6.370826e-07 -6.881247e-06 -4.885373e-09 5.314072e-07 2.929525e-10  1.52698 25.75544 100.00000
 21 -3.670502e-05 -1.257943e-05 -4.300935e-05 5.639131e-06 3.665951e-05 1.262665e-09  0.08412  1.43973 100.00000
 22 -3.852042e-05 -1.762474e-05 -5.168262e-05 4.545559e-06 4.533278e-05 5.738096e-09  0.08210  0.97383 100.00000
 23 -4.517846e-06 -9.362575e-07 -7.147124e-06 1.306411e-07 7.972839e-07 5.818970e-10  0.67666 16.86828 100.00000
 24 -1.454673e-05 -1.810976e-06 -1.122928e-05 5.577830e-07 4.879435e-06 1.326292e-10  0.20934  7.17056 100.00000
 25 -4.865353e-05 -2.826675e-05 -6.883488e-05 6.582643e-06 6.248504e-05 1.204570e-08  0.06652  0.64891 100.00000
 26 -3.846172e-05 -1.546856e-05 -3.813935e-05 3.800296e-06 3.178951e-05 3.965997e-09  0.08124  1.18925 100.00000
 27 -7.672055e-06 -1.522046e-06 -9.248067e-06 5.125022e-07 2.898227e-06 5.311615e-10  0.39793 10.76951 100.00000
 28 -2.156010e-05 -5.447786e-06 -2.031612e-05 2.361706e-06 1.396628e-05 7.696960e-10  0.14203  3.25576 100.00000
 29 -2.048463e-05 -3.406026e-06 -1.793061e-05 1.859110e-06 1.158077e-05 4.084854e-10  0.14892  4.31778 100.00000
 30 -5.866795e-05 -2.864020e-05 -6.410483e-05 6.699957e-06 5.775499e-05 7.003914e-09  0.05392  0.64370 100.00000
 31 -2.240063e-05 -6.726939e-06 -2.140682e-05 1.631105e-06 1.505698e-05 1.408528e-09  0.13764  2.48760 100.00000
 32 -1.667523e-05 -2.384591e-06 -1.319448e-05 7.317920e-07 6.844638e-06 3.950751e-10  0.18279  5.70309 100.00000
 33 -1.893094e-05 -2.749560e-06 -2.125399e-05 1.667943e-06 1.490415e-05 9.219504e-10  0.16105  4.88762 100.00000
 34 -8.920753e-06 -2.282642e-06 -7.597443e-06 1.232040e-07 1.247603e-06 5.242476e-10  0.34419  7.29224 100.00000
 35 -1.376083e-04 -1.098052e-04 -3.121721e-04 4.061430e-05 3.058223e-04 6.348928e-08  0.02513  0.16219 100.00000
